# UTC Date    TIME   JUL    SEC
# YY  MM  DD  TIME   Day    Day       P>1          P>5          P>10         P>30         P>50        P>100
#===============================================================================================================
2024  02  09  0740  60349  27600  4.72434e+00  2.30340e-01  2.22340e-01  2.07340e-01  2.03340e-01  2.03340e-01
2024  02  09  0745  60349  27900  3.46267e+00  3.70672e-01  2.48672e-01  1.69672e-01  1.66672e-01  1.62672e-01
2024  02  09  0750  60349  28200  3.55567e+00  2.91671e-01  2.42671e-01  1.38671e-01  1.32671e-01  1.31671e-01
2024  02  09  0755  60349  28500  3.47067e+00  2.45673e-01  2.18673e-01  2.02673e-01  2.01673e-01  2.00673e-01
2024  02  09  0800  60349  28800  3.29601e+00  2.47007e-01  2.39007e-01  2.04007e-01  2.00006e-01  1.98007e-01
2024  02  09  0805  60349  29100  3.61101e+00  2.45006e-01  2.37006e-01  1.90006e-01  1.87006e-01  1.81006e-01
2024  02  09  0810  60349  29400  3.39001e+00  2.34006e-01  2.01006e-01  1.83006e-01  1.80006e-01  1.74006e-01
2024  02  09  0815  60349  29700  2.96267e+00  2.29673e-01  2.14673e-01  1.92673e-01  1.91673e-01  1.91673e-01
2024  02  09  0820  60349  30000  3.68867e+00  2.73672e-01  2.51672e-01  2.04672e-01  1.85672e-01  1.74672e-01
2024  02  09  0825  60349  30300  2.92834e+00  2.65340e-01  2.51340e-01  2.23340e-01  2.13340e-01  2.11340e-01
2024  02  09  0830  60349  30600  3.57067e+00  3.39672e-01  2.83672e-01  1.94672e-01  1.79672e-01  1.71672e-01
2024  02  09  0835  60349  30900  3.76867e+00  2.46673e-01  2.24673e-01  1.90673e-01  1.86673e-01  1.79673e-01
2024  02  09  0840  60349  31200  3.46701e+00  2.41006e-01  2.26006e-01  2.05006e-01  1.97006e-01  1.96006e-01
2024  02  09  0845  60349  31500  3.40534e+00  2.49339e-01  2.25339e-01  1.83339e-01  1.82339e-01  1.77339e-01
2024  02  09  0850  60349  31800  4.19334e+00  2.92339e-01  2.30339e-01  2.08339e-01  1.90339e-01  1.83339e-01
2024  02  09  0855  60349  32100  4.18834e+00  3.55339e-01  2.56339e-01  1.85339e-01  1.77339e-01  1.73339e-01
2024  02  09  0900  60349  32400  4.69201e+00  2.33006e-01  2.24006e-01  1.89006e-01  1.85006e-01  1.82006e-01
2024  02  09  0905  60349  32700  4.63767e+00  2.83673e-01  2.59673e-01  2.17673e-01  2.16673e-01  1.98673e-01
2024  02  09  0910  60349  33000  4.79834e+00  2.33339e-01  2.05339e-01  1.89339e-01  1.86339e-01  1.82339e-01
2024  02  09  0915  60349  33300  4.86367e+00  2.98673e-01  2.71673e-01  2.23673e-01  2.20673e-01  2.14673e-01
2024  02  09  0920  60349  33600  5.53734e+00  2.99340e-01  2.32340e-01  1.96340e-01  1.93340e-01  1.90340e-01
2024  02  09  0925  60349  33900  5.62834e+00  2.05339e-01  1.86339e-01  1.71339e-01  1.61339e-01  1.60339e-01
2024  02  09  0930  60349  34200  4.89067e+00  2.52673e-01  2.28673e-01  1.86673e-01  1.83673e-01  1.75673e-01
2024  02  09  0935  60349  34500  4.58201e+00  2.97006e-01  2.80006e-01  2.32006e-01  2.28006e-01  2.22006e-01
2024  02  09  0940  60349  34800  4.30201e+00  3.34007e-01  2.74007e-01  1.96007e-01  1.95007e-01  1.94007e-01
2024  02  09  0945  60349  35100  4.84834e+00  2.45340e-01  2.37340e-01  2.05340e-01  2.02340e-01  1.95340e-01
2024  02  09  0950  60349  35400  4.72967e+00  2.67673e-01  2.22673e-01  1.86673e-01  1.85673e-01  1.84673e-01
2024  02  09  0955  60349  35700  4.18101e+00  3.12005e-01  2.40005e-01  1.72005e-01  1.70005e-01  1.63005e-01
2024  02  09  1000  60349  36000  4.72767e+00  3.00673e-01  2.36673e-01  1.95673e-01  1.94673e-01  1.83673e-01
2024  02  09  1005  60349  36300  4.55001e+00  2.99006e-01  2.43007e-01  2.04007e-01  1.99007e-01  1.96007e-01
2024  02  09  1010  60349  36600  5.35167e+00  3.60672e-01  3.07672e-01  1.96672e-01  1.95672e-01  1.87672e-01
2024  02  09  1015  60349  36900  5.94634e+00  2.50339e-01  2.35339e-01  1.87339e-01  1.80339e-01  1.80339e-01
2024  02  09  1020  60349  37200  4.99767e+00  2.18672e-01  2.09672e-01  2.00672e-01  1.99672e-01  1.92672e-01
2024  02  09  1025  60349  37500  5.53367e+00  2.27673e-01  2.18673e-01  2.09673e-01  2.05673e-01  2.04673e-01
2024  02  09  1030  60349  37800  4.95701e+00  2.49006e-01  2.41006e-01  2.06006e-01  2.02006e-01  1.96006e-01
2024  02  09  1035  60349  38100  3.55434e+00  2.84339e-01  2.28339e-01  2.02339e-01  1.99339e-01  1.94339e-01
2024  02  09  1040  60349  38400  4.17801e+00  3.15005e-01  2.67005e-01  1.87005e-01  1.85005e-01  1.65005e-01
2024  02  09  1045  60349  38700  4.24101e+00  3.35006e-01  2.60006e-01  2.18006e-01  2.15006e-01  1.98006e-01
2024  02  09  1050  60349  39000  3.76901e+00  2.24006e-01  2.13006e-01  1.98006e-01  1.95006e-01  1.88006e-01
2024  02  09  1055  60349  39300  4.21267e+00  1.99672e-01  1.79672e-01  1.71672e-01  1.70672e-01  1.64672e-01
2024  02  09  1100  60349  39600  3.93667e+00  5.13673e-01  3.27673e-01  2.04673e-01  2.01673e-01  1.94673e-01
2024  02  09  1105  60349  39900  3.41334e+00  2.10339e-01  1.90339e-01  1.81339e-01  1.74339e-01  1.73339e-01
2024  02  09  1110  60349  40200  3.69967e+00  2.26673e-01  2.17673e-01  2.08673e-01  2.07673e-01  2.01673e-01
